Freq	E'	E"	tan_delta	PhaseAngle	strain
Hz	Pa	Pa	 	°	%
214.000	3.4516e+06	-4.000e+06	-1.1587	-49.205	0.18186
215.000	3.4551e+06	-4.022e+06	-1.1641	-49.337	0.18002
216.000	3.5009e+06	-4.039e+06	-1.1536	-49.079	0.17834
217.000	3.5264e+06	-4.096e+06	-1.1616	-49.276	0.17664
218.000	3.4445e+06	-4.063e+06	-1.1795	-49.707	0.17464
219.000	3.4748e+06	-4.041e+06	-1.1629	-49.307	0.17301
220.000	3.5318e+06	-4.031e+06	-1.1413	-48.775	0.17148
221.000	3.5546e+06	-4.019e+06	-1.1308	-48.512	0.16980
222.000	3.6744e+06	-4.051e+06	-1.1026	-47.792	0.16843
223.000	3.7440e+06	-4.135e+06	-1.1044	-47.840	0.16703
224.000	3.8550e+06	-4.187e+06	-1.0862	-47.367	0.16566
225.000	3.7954e+06	-4.252e+06	-1.1202	-48.246	0.16395
226.000	3.8190e+06	-4.305e+06	-1.1273	-48.426	0.16244
227.000	3.8739e+06	-4.283e+06	-1.1056	-47.872	0.16099
228.000	3.8420e+06	-4.341e+06	-1.1300	-48.492	0.15942
229.000	3.9054e+06	-4.370e+06	-1.1190	-48.215	0.15805
230.000	3.9824e+06	-4.432e+06	-1.1130	-48.060	0.15673
231.000	4.0690e+06	-4.496e+06	-1.1050	-47.855	0.15545
232.000	4.0258e+06	-4.576e+06	-1.1367	-48.660	0.15391
233.000	4.0743e+06	-4.653e+06	-1.1420	-48.793	0.15258
234.000	4.0788e+06	-4.718e+06	-1.1567	-49.155	0.15119
235.000	4.0035e+06	-4.786e+06	-1.1953	-50.084	0.14967
236.000	4.0057e+06	-4.846e+06	-1.2099	-50.426	0.14830
237.000	4.0128e+06	-4.873e+06	-1.2145	-50.532	0.14698
238.000	4.0056e+06	-4.913e+06	-1.2266	-50.812	0.14568
239.000	3.8878e+06	-4.922e+06	-1.2659	-51.694	0.14409
240.000	3.8805e+06	-4.933e+06	-1.2712	-51.808	0.14280
241.000	3.8789e+06	-4.921e+06	-1.2686	-51.752	0.14153
242.000	3.7278e+06	-4.864e+06	-1.3048	-52.534	0.14001
243.000	3.7123e+06	-4.905e+06	-1.3214	-52.882	0.13877
244.000	3.7097e+06	-4.843e+06	-1.3054	-52.547	0.13756
245.000	3.6831e+06	-4.792e+06	-1.3011	-52.455	0.13628
246.000	3.5461e+06	-4.702e+06	-1.3259	-52.976	0.13487
247.000	3.5359e+06	-4.628e+06	-1.3088	-52.619	0.13368
248.000	3.4402e+06	-4.498e+06	-1.3076	-52.592	0.13239
249.000	3.2673e+06	-4.300e+06	-1.3162	-52.774	0.13097
250.000	3.2016e+06	-4.096e+06	-1.2794	-51.989	0.12973
251.000	3.1643e+06	-3.871e+06	-1.2234	-50.738	0.12858
252.000	3.1432e+06	-3.551e+06	-1.1299	-48.489	0.12740
253.000	3.0397e+06	-3.063e+06	-1.0078	-45.223	0.12617
254.000	3.0818e+06	-2.565e+06	-0.8323	-39.771	0.12509
255.000	3.2386e+06	-2.025e+06	-0.6254	-32.022	0.12418
